epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,650.257,0.71198,3.24501,1.48464,0.94851,0.58236,0.77659,0.63125,0.8618,3.82467,1.64349,0.000405093,0.000405093,0.000405093
2,1233.53,0.64991,1.64442,1.37491,0.0839,1,0.9753,0.77698,0.61274,3.35166,1.48915,0.000740405,0.000740405,0.000740405
3,1755.2,0.62955,1.36425,1.34632,0.99596,0.41032,0.99348,0.83545,0.67309,2.9559,1.5003,0.000993218,0.000993218,0.000993218
4,2304.78,0.59624,1.16371,1.29958,0.99829,1,0.99427,0.82986,0.64806,1.88276,1.47752,0.00087875,0.00087875,0.00087875
5,2814.95,0.56745,1.01404,1.27459,0.99648,1,0.9936,0.84196,0.64527,1.16589,1.38001,0.000755,0.000755,0.000755
6,3329.61,0.54493,0.92278,1.24066,0.99668,0.99997,0.99337,0.84196,0.61316,0.846,1.3731,0.00063125,0.00063125,0.00063125
7,3849.96,0.50413,0.81971,1.20718,0.9982,1,0.99394,0.86266,0.57004,0.74631,1.30148,0.0005075,0.0005075,0.0005075
8,4455.6,0.48258,0.7608,1.18301,0.99823,1,0.9945,0.86828,0.54348,0.69265,1.2596,0.00038375,0.00038375,0.00038375
9,5240.15,0.47074,0.70524,1.15799,0.99823,1,0.99364,0.88071,0.52141,0.6797,1.23032,0.00026,0.00026,0.00026
10,5881.67,0.44773,0.6809,1.14062,0.99824,1,0.99392,0.87368,0.54106,0.63985,1.25521,0.00013625,0.00013625,0.00013625
